序号,编码,数据项含义,数据类型,数据项标准,Unnamed: 5,说明
21,q0720,0720,Int型,1.非常不快乐2.有一点快乐3.比较快乐4.非常快乐,,你认为自己的生活快乐吗？
22,q0721,0721,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你经常为已经做的事后悔吗？
23,q0722,0722,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你觉得大多数人都喜欢你吗？
24,q0723,0723,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你一做作业就觉得心烦吗？
25,q0724,0724,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你做作业的过程中常需要休息好几次吗？
26,q0725,0725,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,当遇到难题时，你仍然能坚持做下去吗？
27,q0726,0726,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你觉得老师对你友好吗？
28,q0727,0727,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你经常偏爱某些食物或不吃某些食物吗？
29,q0728,0728,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你容易感到紧张或害怕吗？
30,q0729,0729,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,需要帮助时，你能找到可信赖的朋友吗？
31,q0730,0730,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常很容易就记住新学的知识吗？
32,q0731,0731,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你经常感到疼痛或身体不舒服吗？
33,q0732,0732,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常为这样或那样的事感到感到烦恼吗？
34,q0733,0733,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常有机会去看展览、比赛或旅游吗？
35,q0734,0734,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你除了完成作业还愿意做其他的练习吗？
36,q0735,0735,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常担心自己做错事吗？
37,q0736,0736,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你觉得自己是集体中重要的人吗？
38,q0737,0737,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常喜欢和父母呆在一起吗？
39,q0738,0738,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常举手回答老师提出的问题吗？
40,q0739,0739,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常感到累或者没有精神吗？
41,q0740,0740,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你早上起床后常觉得还是很累吗？
42,q0741,0741,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你喜欢你的老师吗？
43,q0742,0742,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你认为自己是个好学生吗？
44,q0743,0743,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常觉得生活没意思吗？
45,q0744,0744,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,父母能理解你的想法吗？
46,q0745,0745,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常需要花很长的时间来完成作业吗？
47,q0746,0746,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你觉得老师对你友好吗？
48,q0747,0747,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常觉得不想吃饭或吃得过饱吗？
49,q0748,0748,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,你常参加体育锻炼吗？
50,q0749,0749,Int型,1.从不这样2.很少这样3.经常这样4.总是这样,,当遇到困难时，你愿意告诉父母吗？
